XGS SPI REgister Dump

Add	Data

0x0000	0x0058
0x0002	0x0002
0x3012	0x0000
0x3602	0x0093
0x3700	0x001C
0x3800	0x0031
0x3802	0x0300
0x3804	0x1111
0x3806	0x4E06
0x3808	0x0000
0x380A	0x000F
0x380C	0x0000
0x380E	0x0000
0x3810	0x0B70
0x3812	0x0000
0x3814	0x0000
0x3816	0x0004
0x3818	0x0002
0x381A	0x0000
0x381C	0x0302
0x381E	0x0000
0x3820	0x0302
0x3822	0x0000
0x3824	0x0302
0x3826	0x0000
0x3828	0x0302
0x382A	0x0000
0x382C	0x0302
0x382E	0x0000
0x3830	0x0302
0x3832	0x0000
0x3834	0x0302
0x3836	0x0000
0x3838	0x0302
0x383A	0x0C34
0x383C	0x0000
0x383E	0x0001
0x3840	0x069A
0x3842	0x0000
0x3844	0x0100
0x3846	0x2020
0x3848	0x2020
0x384A	0x0100
0x384C	0x0100
0x384E	0x0100
0x3850	0x0100
0x3852	0x0000
0x3854	0x0000
0x3856	0x0000
0x3858	0x0000
0x385A	0x0C58
0x385C	0x0000
0x385E	0x0001
0x3860	0x0BB8
0x3862	0x0000
0x3864	0x0000
0x3866	0x2020
0x3868	0x2020
0x386A	0x0100
0x386C	0x0100
0x386E	0x0100
0x3870	0x0100
0x3872	0x0000
0x3874	0x0000
0x3876	0x0000
0x3878	0x0000
0x387A	0x0C58
0x387C	0x0000
0x387E	0x0001
0x3880	0x0BB8
0x3882	0x0000
0x3884	0x0000
0x3886	0x2020
0x3888	0x2020
0x388A	0x0100
0x388C	0x0100
0x388E	0x0100
0x3890	0x0100
0x3892	0x0000
0x3894	0x0000
0x3896	0x0000
0x3898	0x0000
0x389A	0x0C03
0x389C	0x0000
0x389E	0x0000
0x38A0	0x0000
0x38A2	0x0000
0x38A4	0x0000
0x38A6	0x0000
0x38A8	0x0000
0x38AA	0x0000
0x38AC	0x1602
0x38AE	0x0100
0x38B0	0x14A1
0x38B2	0x1000
0x38B4	0x1C1C
0x38B6	0x0001
0x38B8	0x0002
0x38BA	0x0001
0x38BC	0x0002
0x38BE	0x1050
0x3E0E	0x0000
0x3E10	0x0000
0x3E12	0x0000
0x3E14	0x0000
0x3E16	0x0000
0x3E18	0x1000
0x3E1A	0x0000
0x3E1C	0x0000
0x3E1E	0x0000
0x3E20	0x0000
0x3E22	0x0000
0x3E24	0x0000
0x3E26	0x0000
0x3E28	0x2537
0x3E2A	0x0000
0x3E2C	0x0000
0x3E2E	0x0000
0x3E30	0x0017
0x3E32	0x03A6
0x3E34	0x0000
0x3E36	0x0000
0x3E38	0x0000
0x3E3A	0x2001
0x3E3C	0x0000
0x3E3E	0x0000
0x3E40	0x1084
0x3E42	0x0031
0x3E44	0xFFFF
0x3E46	0xFFFF
0x3E48	0xFFFF
0x3E4A	0xFFFF
0x3E4C	0xFFFF
0x3E4E	0xFFFF
0x3E50	0xFFFF
0x3E52	0xFFFF
0x3E54	0xFFFF
0x3E56	0xFFFF
0x3E58	0xFFFF
0x3E5A	0xFFFF
0x3E5C	0xFFFF
0x3E5E	0xFFFF
0x3E60	0xFFFF
0x3E62	0xFFFF
0x3E64	0xFFFF
0x3E66	0xFFFF
0x3E68	0xFFFF
0x3E6A	0xFFFF
0x3E6C	0xFFFF
0x3E6E	0xFFFF
0x3E70	0xFFFF
0x3E72	0xFFFF
0x3E74	0x0003
0x3E76	0x0820
0x3E78	0x0000
0x3E7A	0x0000
0x3E7C	0x0000
0x3E7E	0x0000
0x3E80	0x000D
0x3E82	0x0000
