Symbol,Pin Number, Pin Name,Bank,Net Name
IF00750C01B0_7572_v0_BANK_0
,W9,TMS_0,,$15N5122
,V10,PROGRAM_B_0,,_1N1016
,V11,CFGBVS_0,,GROUND
,U10,M2_0,,GROUND
,W8,TDO_0,,$15N6328
,W10,TDI_0,,$15N5098
,U11,INIT_B_0,,_1N1018
,W11,M1_0,,GROUND
,V12,M0_0,,V1P8
,C11,CCLK_0,,$15N5008
,A13,VREFN_0,,GROUND
,B11,DXN_0,,GROUND
,C8,TCK_0,,$15N5114
,C9,VCCBATT_0,,V1P8
,B12,VREFP_0,,GROUND
,C13,VCCADC_0,,V1P8
,C12,GNDADC_0,,GROUND
,A11,DXP_0,,GROUND
,U12,DONE_0,,_1N1020
,A12,VP_0,,GROUND
,B13,VN_0,,GROUND
IF00750C01B0_7572_v0_POWER
,J13,VCCAUX_J13,,V1P8
,H13,VCCAUX_H13,,V1P8
,N11,VCCBRAM_N11,,V0P95
,M11,VCCBRAM_M11,,V0P95
,N10,VCCINT_N10,,V0P95
,M10,VCCINT_M10,,V0P95
,L10,VCCINT_L10,,V0P95
,J10,VCCINT_J10,,V0P95
,H10,VCCINT_H10,,V0P95
,G10,VCCINT_G10,,V0P95
,M7,VCCO_35_M7,,V1P8
,L7,VCCO_35_L7,,V1P8
,K7,VCCO_35_K7,,V1P8
,K1,VCCO_35_K1,,V1P8
,J7,VCCO_35_J7,,V1P8
,H3,VCCO_35_H3,,V1P8
,V6,VCCO_34_V6,,VCCO_34
,V1,VCCO_34_V1,,VCCO_34
,R1,VCCO_34_R1,,VCCO_34
,N8,VCCO_34_N8,,VCCO_34
,N7,VCCO_34_N7,,VCCO_34
,M8,VCCO_34_M8,,VCCO_34
,G13,VCCO_16_G13,,VCCO_16
,C18,VCCO_16_C18,,VCCO_16
,C14,VCCO_16_C14,,VCCO_16
,B19,VCCO_16_B19,,VCCO_16
,U13,VCCO_14_U13,,V1P8
,R17,VCCO_14_R17,,V1P8
,M17,VCCO_14_M17,,V1P8
,M12,VCCO_14_M12,,V1P8
,L13,VCCO_14_L13,,V1P8
,L12,VCCO_14_L12,,V1P8
,K13,VCCO_14_K13,,V1P8
,K12,VCCO_14_K12,,V1P8
,F17,VCCO_14_F17,,V1P8
,G12,VCCO_0_G12,,V1P8
,V9,VCCO_0_V9,,V1P8
IF00750C01B0_7572_v0_GROUND
,W12,GND_W12,,GROUND
,W1,GND_W1,,GROUND
,V18,GND_V18,,GROUND
,U9,GND_U9,,GROUND
,U6,GND_U6,,GROUND
,T19,GND_T19,,GROUND
,P2,GND_P2,,GROUND
,N13,GND_N13,,GROUND
,N12,GND_N12,,GROUND
,N9,GND_N9,,GROUND
,M13,GND_M13,,GROUND
,M9,GND_M9,,GROUND
,L19,GND_L19,,GROUND
,L11,GND_L11,,GROUND
,L9,GND_L9,,GROUND
,L8,GND_L8,,GROUND
,K8,GND_K8,,GROUND
,J12,GND_J12,,GROUND
,J11,GND_J11,,GROUND
,J9,GND_J9,,GROUND
,J8,GND_J8,,GROUND
,H18,GND_H18,,GROUND
,H12,GND_H12,,GROUND
,H11,GND_H11,,GROUND
,H8,GND_H8,,GROUND
,H7,GND_H7,,GROUND
,G11,GND_G11,,GROUND
,G8,GND_G8,,GROUND
,G1,GND_G1,,GROUND
,F19,GND_F19,,GROUND
,F2,GND_F2,,GROUND
,F1,GND_F1,,GROUND
,E17,GND_E17,,GROUND
,E3,GND_E3,,GROUND
,D3,GND_D3,,GROUND
,C19,GND_C19,,GROUND
,C10,GND_C10,,GROUND
,C6,GND_C6,,GROUND
,C4,GND_C4,,GROUND
,C3,GND_C3,,GROUND
,C2,GND_C2,,GROUND
,B14,GND_B14,,GROUND
,B9,GND_B9,,GROUND
,B7,GND_B7,,GROUND
,B5,GND_B5,,GROUND
,B3,GND_B3,,GROUND
,A19,GND_A19,,GROUND
,A9,GND_A9,,GROUND
,A7,GND_A7,,GROUND
,A5,GND_A5,,GROUND
,A3,GND_A3,,GROUND
,A1,GND_A1,,GROUND
IF00750C01B0_7572_v0_BANK_16
,C17,IO_L14P_T2_SRCC_16,,GROUND
,C16,IO_L13P_T2_MRCC_16,,GROUND
,A15,IO_L6N_T0_VREF_16,,
,C15,smbdata,,$16N2920
