#Top: miox_top   Floorplan: synth_1   Part: xc7z015clg485-1
#Generated by: amarchan   on: Thu Aug  9 18:31:19 2018
#Build: Vivado v2018.2   by: xbuild   on: Thu Jun 14 20:03:12 MDT 2018
#Package Version: FINAL 2013-10-23
#Package Pin Delay Version: VERS. 2.0 2013-10-23

IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,EQUALIZATION,Pull Type,DQS_BIAS,IN_TERM,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage
13,V16,IOB_X0Y4,IO_L23P_T3_13,38.896,39.286,,UART_0_55342,com1_cts_n,IN,,,LVCMOS33,,,,,,,,,,,,,
13,AA16,IOB_X0Y22,IO_L14P_T2_SRCC_13,103.912,104.956,,UART_0_55342,com1_rts_n,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
13,AB16,IOB_X0Y16,IO_L17P_T2_13,84.875,85.728,,UART_0_55342,com1_rxd,IN,,,LVCMOS33,,,,,,,,,,,,,
13,U17,IOB_X0Y6,IO_L22P_T3_13,35.347,35.702,,UART_0_55342,com1_txd,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
34,L5,IOB_X1Y76,IO_L12P_T1_MRCC_34,46.742,47.212,,lan1_ncsi_55342,lan1_ncsi_rxd[1],IN,,,LVCMOS33,,,,,,,,,,,,,
34,L4,IOB_X1Y75,IO_L12N_T1_MRCC_34,57.162,57.736,,lan1_ncsi_55342,lan1_ncsi_rxd[0],IN,,,LVCMOS33,,,,,,,,,,,,,
34,K3,IOB_X1Y77,IO_L11N_T1_SRCC_34,52.828,53.359,,lan1_ncsi_55342,lan1_ncsi_txd[1],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
35,H1,IOB_X1Y102,IO_L24P_T3_AD15P_35,54.050,54.593,,lan1_ncsi_55342,lan1_ncsi_txd[0],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
34,J1,IOB_X1Y83,IO_L8N_T1_34,64.841,65.492,,lan1_ncsi_55342,lan1_ncsi_crs_dv,IN,,,LVCMOS33,,,,,,,,,,,,,
34,J2,IOB_X1Y84,IO_L8P_T1_34,55.802,56.363,,lan1_ncsi_55342,lan1_ncsi_tx_en,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
34,K2,IOB_X1Y81,IO_L9N_T1_DQS_34,51.101,51.615,,CLK.NCSI_CLK_55342,lan1_ncsi_clk,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
35,B7,IOB_X1Y134,IO_L8P_T1_AD10P_35,77.978,78.762,,CLK.NCSI_CLK_55342,lan2_ncsi_clk,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
34,H8,IOB_X1Y99,IO_0_34,54.544,55.093,,CLK.NCSI_CLK_55342,lan3_ncsi_clk,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
35,E3,IOB_X1Y107,IO_L21N_T3_DQS_AD14N_35,97.640,98.621,,CLK.NCSI_CLK_55342,lan4_ncsi_clk,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
34,R7,IOB_X1Y51,IO_L24N_T3_34,80.535,81.344,,CLK.NCSI_CLK_55342,profinet1_ncsi_clk,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
35,A1,IOB_X1Y119,IO_L15N_T2_DQS_AD12N_35,95.041,95.996,,CLK.NCSI_CLK_55342,profinet2_ncsi_clk,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
502,W21,IOPAD_X1Y67,PS_DDR_DQS_N3_502,110.613,111.725,,ddr_55342,ddr_dqs_n[3],INOUT,,,DIFF_SSTL18_II_T_DCI,,FAST,,,,,PULLUP,,,,FP_VTT_50,,
502,P21,IOPAD_X1Y66,PS_DDR_DQS_N2_502,74.395,75.143,,ddr_55342,ddr_dqs_n[2],INOUT,,,DIFF_SSTL18_II_T_DCI,,FAST,,,,,PULLUP,,,,FP_VTT_50,,
502,J21,IOPAD_X1Y65,PS_DDR_DQS_N1_502,76.687,77.458,,ddr_55342,ddr_dqs_n[1],INOUT,,,DIFF_SSTL18_II_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,D21,IOPAD_X1Y64,PS_DDR_DQS_N0_502,76.455,77.223,,ddr_55342,ddr_dqs_n[0],INOUT,,,DIFF_SSTL18_II_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,G19,IOPAD_X1Y17,PS_DDR_A14_502,58.860,59.451,,ddr_55342,ddr_addr[14],OUT,,,SSTL18_I,,SLOW,,,,,,,,,FP_VTT_50,,
502,F19,IOPAD_X1Y18,PS_DDR_A13_502,73.089,73.824,,ddr_55342,ddr_addr[13],OUT,,,SSTL18_I,,SLOW,,,,,,,,,FP_VTT_50,,
502,H19,IOPAD_X1Y16,PS_DDR_A12_502,55.881,56.442,,ddr_55342,ddr_addr[12],OUT,,,SSTL18_I,,SLOW,,,,,,,,,FP_VTT_50,,
502,G18,IOPAD_X1Y15,PS_DDR_A11_502,54.179,54.724,,ddr_55342,ddr_addr[11],OUT,,,SSTL18_I,,SLOW,,,,,,,,,FP_VTT_50,,
502,J20,IOPAD_X1Y14,PS_DDR_A10_502,51.729,52.249,,ddr_55342,ddr_addr[10],OUT,,,SSTL18_I,,SLOW,,,,,,,,,FP_VTT_50,,
502,H18,IOPAD_X1Y13,PS_DDR_A9_502,52.459,52.986,,ddr_55342,ddr_addr[9],OUT,,,SSTL18_I,,SLOW,,,,,,,,,FP_VTT_50,,
502,J18,IOPAD_X1Y12,PS_DDR_A8_502,66.541,67.210,,ddr_55342,ddr_addr[8],OUT,,,SSTL18_I,,SLOW,,,,,,,,,FP_VTT_50,,
502,J17,IOPAD_X1Y11,PS_DDR_A7_502,51.474,51.992,,ddr_55342,ddr_addr[7],OUT,,,SSTL18_I,,SLOW,,,,,,,,,FP_VTT_50,,
502,J16,IOPAD_X1Y10,PS_DDR_A6_502,54.236,54.781,,ddr_55342,ddr_addr[6],OUT,,,SSTL18_I,,SLOW,,,,,,,,,FP_VTT_50,,
502,K18,IOPAD_X1Y9,PS_DDR_A5_502,61.918,62.541,,ddr_55342,ddr_addr[5],OUT,,,SSTL18_I,,SLOW,,,,,,,,,FP_VTT_50,,
502,K17,IOPAD_X1Y8,PS_DDR_A4_502,63.525,64.163,,ddr_55342,ddr_addr[4],OUT,,,SSTL18_I,,SLOW,,,,,,,,,FP_VTT_50,,
502,L19,IOPAD_X1Y7,PS_DDR_A3_502,54.288,54.833,,ddr_55342,ddr_addr[3],OUT,,,SSTL18_I,,SLOW,,,,,,,,,FP_VTT_50,,
502,K19,IOPAD_X1Y6,PS_DDR_A2_502,55.145,55.700,,ddr_55342,ddr_addr[2],OUT,,,SSTL18_I,,SLOW,,,,,,,,,FP_VTT_50,,
502,M18,IOPAD_X1Y5,PS_DDR_A1_502,59.380,59.977,,ddr_55342,ddr_addr[1],OUT,,,SSTL18_I,,SLOW,,,,,,,,,FP_VTT_50,,
502,M19,IOPAD_X1Y4,PS_DDR_A0_502,59.069,59.663,,ddr_55342,ddr_addr[0],OUT,,,SSTL18_I,,SLOW,,,,,,,,,FP_VTT_50,,
502,V21,IOPAD_X1Y71,PS_DDR_DQS_P3_502,112.069,113.195,,ddr_55342,ddr_dqs_p[3],INOUT,,,DIFF_SSTL18_II_T_DCI,,FAST,,,,,PULLUP,,,,FP_VTT_50,,
